Date,Season,Team_Arna-Bjørnar,Team_Avaldsnes,Team_Fart,Team_Grand Bodø,Team_IF Fløya,Team_Klepp,Team_Kolbotn,Team_LSK Kvinner,Team_Lyn,Team_Medkila,Team_Røa,Team_Sandviken,Team_Stabæk,Team_Trondheims-Ørn,Team_Vålerenga,Opponent_Arna-Bjørnar,Opponent_Avaldsnes,Opponent_Fart,Opponent_Grand Bodø,Opponent_IF Fløya,Opponent_Klepp,Opponent_Kolbotn,Opponent_LSK Kvinner,Opponent_Lyn,Opponent_Medkila,Opponent_Røa,Opponent_Sandviken,Opponent_Stabæk,Opponent_Trondheims-Ørn,Opponent_Vålerenga,Venue_Away,Venue_Home,Game # in season,Avg. Historical Score Diff,Team's goals per 90 min last season,Opponent's goals per 90 min last season,Team's Avg. Age,Opponent's Avg. Age,Top 5 Team,Top 5 Opponent,y1: Team Score,y2: Opponent Score
2017-04-23,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2.0,0.16666666666666666,1.6401515151515151,1.6401515151515151,25.2,22.9,0,0,2.0,2.0
2017-04-23,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4.0,-0.25,1.6401515151515151,1.6401515151515151,22.9,20.1,0,0,2.0,4.0
2017-04-23,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,1.6666666666666667,1.6401515151515151,1.6401515151515151,25.3,24.4,0,0,4.0,2.0
2017-04-23,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3.0,-1.0,1.6401515151515151,1.6401515151515151,21.8,22.4,0,0,2.0,2.0
2017-04-23,2017,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.0,0.8333333333333334,1.6401515151515151,1.6401515151515151,22.9,21.8,0,0,6.0,1.0
2017-04-28,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3.0,-0.8333333333333334,1.6401515151515151,1.6401515151515151,21.9,22.9,0,0,1.0,5.0
2017-04-28,2017,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,-0.3333333333333333,1.6401515151515151,1.6401515151515151,25.0,25.3,0,0,5.0,1.0
2017-04-29,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3.0,-0.5,1.6401515151515151,1.6401515151515151,20.1,21.8,0,0,2.0,2.0
2017-04-29,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,0.3333333333333333,1.6401515151515151,1.6401515151515151,25.3,25.2,0,0,2.0,2.0
2017-04-30,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4.0,-0.5714285714285714,1.6401515151515151,1.6401515151515151,22.4,24.4,0,0,0.0,0.0
2017-04-30,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,-0.3333333333333333,1.6401515151515151,1.6401515151515151,25.2,25.3,0,0,0.0,0.0
2017-05-06,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0,-0.8333333333333334,1.6401515151515151,1.6401515151515151,25.2,25.0,0,0,2.0,1.0
2017-05-06,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5.0,0.5,1.6401515151515151,1.6401515151515151,25.2,21.8,0,0,2.0,2.0
2017-05-06,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4.0,2.0,1.6401515151515151,1.6401515151515151,21.8,21.72276299787169,0,0,2.0,2.0
2017-05-06,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4.0,-1.1666666666666667,1.6401515151515151,1.6401515151515151,25.0,25.3,0,0,2.0,1.0
2017-05-06,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,-0.3333333333333333,1.6401515151515151,1.6401515151515151,24.4,25.2,0,0,1.0,2.0
2017-05-06,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,1.0,1.6401515151515151,1.6401515151515151,21.9,20.1,0,0,1.0,2.0
2017-05-07,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4.0,-1.25,1.6401515151515151,1.6401515151515151,20.1,25.2,0,0,1.0,9.0
2017-05-07,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5.0,-0.6666666666666666,1.6401515151515151,1.6401515151515151,21.9,25.3,0,0,0.0,5.0
2017-05-07,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6.0,-0.14285714285714285,1.6401515151515151,1.6401515151515151,21.9,25.0,0,0,5.0,0.0
2017-05-07,2017,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.0,-0.25,1.6401515151515151,1.6401515151515151,20.1,22.4,0,0,1.0,2.0
2017-05-07,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0,1.5,1.6401515151515151,1.6401515151515151,25.3,22.4,0,0,9.0,1.0
2017-05-07,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6.0,0.5,1.6401515151515151,1.6401515151515151,25.2,22.4,0,0,2.0,1.0
2017-05-12,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0,-0.6666666666666666,1.6401515151515151,1.6401515151515151,21.9,25.2,0,0,2.0,3.0
2017-05-12,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,0.5714285714285714,1.6401515151515151,1.6401515151515151,25.3,21.9,0,0,3.0,2.0
2017-05-12,2017,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2.0,0.6666666666666666,1.6401515151515151,1.6401515151515151,24.4,22.4,0,0,2.0,0.0
2017-05-12,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8.0,1.1666666666666667,1.6401515151515151,1.6401515151515151,21.9,21.8,0,0,0.0,2.0
2017-05-13,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6.0,2.1666666666666665,1.6401515151515151,1.6401515151515151,25.3,25.3,0,0,1.0,1.0
2017-05-13,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4.0,0.3333333333333333,1.6401515151515151,1.6401515151515151,25.3,25.0,0,0,2.0,0.0
2017-05-13,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7.0,0.14285714285714285,1.6401515151515151,1.6401515151515151,25.2,22.9,0,0,1.0,0.0
2017-05-13,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6.0,-0.2,1.6401515151515151,1.6401515151515151,20.1,22.4,0,0,1.0,3.0
2017-05-13,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7.0,1.8333333333333333,1.6401515151515151,1.6401515151515151,25.3,21.9,0,0,0.0,1.0
2017-05-13,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.0,0.0,1.6401515151515151,1.6401515151515151,25.0,22.4,0,0,0.0,2.0
2017-05-13,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.0,-1.6666666666666667,1.6401515151515151,1.6401515151515151,24.4,25.3,0,0,1.0,1.0
2017-05-13,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.0,-0.6666666666666666,1.6401515151515151,1.6401515151515151,21.8,24.4,0,0,3.0,1.0
2017-05-16,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6.0,1.1666666666666667,1.6401515151515151,1.6401515151515151,25.0,21.8,0,0,2.0,0.0
2017-05-16,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5.0,-0.5,1.6401515151515151,1.6401515151515151,25.3,21.8,0,0,0.0,2.0
2017-05-16,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0,-0.7142857142857143,1.6401515151515151,1.6401515151515151,21.8,22.9,0,0,1.0,3.0
2017-05-16,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7.0,-0.5714285714285714,1.6401515151515151,1.6401515151515151,21.8,24.4,0,0,0.0,4.0
2017-05-16,2017,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8.0,0.3333333333333333,1.6401515151515151,1.6401515151515151,25.2,24.4,0,0,4.0,0.0
2017-05-16,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7.0,0.25,1.6401515151515151,1.6401515151515151,20.1,22.9,0,0,3.0,1.0
2017-05-16,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6.0,1.0,1.6401515151515151,1.6401515151515151,22.9,25.3,0,0,3.0,2.0
2017-05-16,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.0,-0.5714285714285714,1.6401515151515151,1.6401515151515151,21.9,25.3,0,0,0.0,2.0
2017-05-16,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.0,0.6666666666666666,1.6401515151515151,1.6401515151515151,24.4,21.8,0,0,2.0,0.0
2017-05-16,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5.0,-1.4285714285714286,1.6401515151515151,1.6401515151515151,24.4,25.3,0,0,2.0,3.0
2017-05-20,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7.0,0.8333333333333334,1.6401515151515151,1.6401515151515151,25.0,25.2,0,0,3.0,0.0
2017-05-20,2017,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9.0,0.6666666666666666,1.6401515151515151,1.6401515151515151,25.2,21.9,0,0,1.0,0.0
2017-05-20,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,8.0,-2.5,1.6401515151515151,1.6401515151515151,20.1,25.3,0,0,0.0,2.0
2017-05-20,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6.0,0.6666666666666666,1.6401515151515151,1.6401515151515151,24.4,21.9,0,0,0.0,3.0
2017-05-20,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7.0,0.16666666666666666,1.6401515151515151,1.6401515151515151,22.9,24.4,0,0,0.0,1.0
2017-05-20,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5.0,-1.5,1.6401515151515151,1.6401515151515151,22.4,25.3,0,0,2.0,0.0
2017-05-21,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,-2.0,1.6401515151515151,1.6401515151515151,21.72276299787169,21.8,0,0,1.0,2.0
2017-05-21,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9.0,-1.8,1.6401515151515151,1.6401515151515151,20.1,25.3,0,0,2.0,1.0
2017-05-22,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0,1.4285714285714286,1.6401515151515151,1.6401515151515151,25.3,24.4,0,0,0.0,2.0
2017-05-22,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6.0,1.0,1.6401515151515151,1.6401515151515151,22.4,21.8,0,0,2.0,0.0
2017-05-23,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8.0,0.5714285714285714,1.6401515151515151,1.6401515151515151,25.0,24.4,0,0,3.0,0.0
2017-05-23,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.0,1.1666666666666667,1.6401515151515151,1.6401515151515151,25.3,25.0,0,0,0.0,3.0
2017-05-27,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7.0,-0.5,1.6401515151515151,1.6401515151515151,22.4,25.2,0,0,1.0,3.0
2017-05-27,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10.0,0.5714285714285714,1.6401515151515151,1.6401515151515151,25.2,21.9,0,0,1.0,2.0
